customer_id,name,company,segment,ltv,orders,successful_payments,failed_payments,avg_delay_days,promises_made,promises_kept,city,preferred_device,email,phone
CUST000001,Aman Kapoor,,normal,34400.0,8,7,1,4.6,0,0,Hyderabad,iOS,,
CUST000002,Diya Joshi,,normal,32300.0,8,7,1,6.3,0,0,Jaipur,iOS,,
CUST000003,Kiara Singh,,normal,17800.0,3,3,0,5.2,0,0,Nagpur,Android,,
CUST000004,Kiara Gupta,,normal,18200.0,5,4,1,3.7,2,2,Delhi,Android,,
CUST000005,Neha Malhotra,,group_d_broken_promise,62100.0,9,5,4,32.8,9,3,Nagpur,Android,,
CUST000006,Kiara Iyer,,normal,5200.0,1,1,0,3.9,1,1,Chennai,iOS,,
CUST000007,Karan Singh,,normal,21600.0,2,2,0,1.5,1,1,Kolkata,iOS,,
CUST000008,Diya Chawla,,normal,29900.0,6,4,2,10.1,0,0,Pune,Desktop,,
CUST000009,Ananya Reddy,,group_d_broken_promise,43800.0,4,2,2,16.2,9,1,Ahmedabad,iOS,,
CUST000010,Rohan Verma,,normal,16100.0,2,2,0,1.2,2,2,Hyderabad,Android,,
CUST000011,Vivaan Singh,,normal,37500.0,7,5,2,9.5,1,1,Ahmedabad,Android,,
CUST000012,Simran Chawla,,normal,7900.0,2,2,0,2.3,0,0,Chennai,iOS,,
CUST000013,Priya Sharma,,normal,12200.0,4,4,0,0.6,1,1,Ahmedabad,Android,,
CUST000014,Aman Mehta,,normal,36000.0,6,5,1,3.2,1,1,Bangalore,Android,,
CUST000015,Simran Malhotra,,normal,29300.0,4,3,1,3.7,0,0,Hyderabad,Desktop,,
CUST000016,Vivaan Bose,Reddy Enterprises Pvt Ltd,b2b,572700.0,54,44,10,7.0,5,5,Jaipur,Android,,
CUST000017,Meera Verma,,normal,7600.0,3,2,1,1.4,0,0,Mumbai,Android,,
CUST000018,Diya Reddy,,dormant_high_ltv,251800.0,31,29,2,2.9,0,0,Ahmedabad,iOS,,
CUST000019,Kiara Sharma,,normal,8300.0,3,2,1,0.5,1,1,Kolkata,Desktop,,
CUST000020,Vivaan Chawla,,normal,26500.0,5,4,1,4.7,2,2,Chennai,iOS,,
CUST000021,Karan Joshi,,normal,23700.0,5,4,1,0.9,2,2,Bangalore,Desktop,,
CUST000022,Kabir Malhotra,,normal,17100.0,4,3,1,3.3,0,0,Kolkata,Android,,
CUST000023,Aditya Gupta,,normal,36900.0,7,5,2,2.0,1,1,Jaipur,Desktop,,
CUST000024,Simran Iyer,,normal,13800.0,1,1,0,0.2,2,2,Delhi,Android,,
CUST000025,Ishaan Reddy,,normal,6200.0,3,2,1,0.7,1,1,Indore,iOS,,
CUST000026,Neha Patel,,group_d_broken_promise,36100.0,9,5,4,21.7,5,1,Kolkata,Desktop,,
